trial_id,pair_id,condition,age,grade,mood,location,goal_label,goal_text,seed,latency_s,attempts,first_attempt_pass,final_pass,page_count,avg_sentences_per_page,avg_words_per_sentence,total_words,page_count_pass,spp_pass,wps_pass,total_words_pass,fkgl_score,fkgl_pass,fre_score,fre_pass,story_elements_found,story_elements_pass,cohesion_mean,cohesion_pairs,aoa_coverage_pct,aoa_pass,goal_mention_count,goal_mention_pass,goal_action_count,goal_action_pass,goal_reminder_count,goal_reminder_pass,unsafe_hits,safe_pass,all_pass_automated,errors
A06_Mhappy_Lschool_Gempathy_S1337_Cfull,A06_Mhappy_Lschool_Gempathy_S1337,full,6,1,happy,school,empathy,empathy: caring about how others feel,1337,44.29,3,False,False,16,3.5,6.0,336,False,True,True,True,2.24,False,92.55,True,6,True,0.018,40,90.71,False,5,True,4,True,3,True,0,True,False,
A06_Mhappy_Lschool_Gempathy_S42_Cfull,A06_Mhappy_Lschool_Gempathy_S42,full,6,1,happy,school,empathy,empathy: caring about how others feel,42,47.35,3,False,False,16,4.44,4.01,285,False,True,True,False,0.33,True,100.97,True,6,True,0.0409,35,89.27,False,3,True,5,True,2,True,0,True,False,
A06_Msad_Lpark_Gempathy_S42_Cbaseline,A06_Msad_Lpark_Gempathy_S42,baseline,6,1,sad,park,empathy,empathy: caring about how others feel,42,8.93,1,,,16,3.19,6.35,324,False,True,True,True,2.53,False,91.87,True,6,True,0.021,35,89.07,False,3,True,6,True,2,True,0,True,False,
A06_Msad_Lpark_Gempathy_S1337_Cbaseline,A06_Msad_Lpark_Gempathy_S1337,baseline,6,1,sad,park,empathy,empathy: caring about how others feel,1337,5.86,1,,,16,2.75,6.05,266,False,True,True,False,1.85,True,96.64,True,6,True,0.0437,28,88.43,False,2,True,5,True,1,True,0,True,False,
A06_Mhappy_Lschool_Gpersistence_S42_Cfull,A06_Mhappy_Lschool_Gpersistence_S42,full,6,1,happy,school,persistence,persistence: keeping trying when tasks are hard,42,46.1,3,False,False,16,3.62,5.95,345,False,True,True,True,1.39,True,98.23,True,6,True,0.0235,39,91.19,False,3,True,4,True,2,True,0,True,False,
A06_Msad_Lpark_Gpersistence_S42_Cbaseline,A06_Msad_Lpark_Gpersistence_S42,baseline,6,1,sad,park,persistence,persistence: keeping trying when tasks are hard,42,7.68,1,,,16,3.19,5.57,284,False,True,True,False,0.71,True,102.88,True,6,True,0.0311,35,87.74,False,2,True,5,True,2,True,0,True,False,
A06_Mhappy_Lpark_Gempathy_S42_Cfull,A06_Mhappy_Lpark_Gempathy_S42,full,6,1,happy,park,empathy,empathy: caring about how others feel,42,80.65,3,False,False,15,2.73,5.85,240,True,True,True,False,1.11,True,99.69,True,6,True,0.0126,34,89.92,False,5,True,4,True,3,True,0,True,False,
A06_Mhappy_Lpark_Gempathy_S1337_Cfull,A06_Mhappy_Lpark_Gempathy_S1337,full,6,1,happy,park,empathy,empathy: caring about how others feel,1337,46.87,3,False,False,16,3.88,5.52,342,False,True,True,True,1.38,True,97.55,True,6,True,0.0226,46,88.65,False,3,True,6,True,2,True,0,True,False,
A06_Mhappy_Lschool_Gpersistence_S1337_Cfull,A06_Mhappy_Lschool_Gpersistence_S1337,full,6,1,happy,school,persistence,persistence: keeping trying when tasks are hard,1337,41.35,3,False,False,15,3.13,5.96,280,True,True,True,False,0.73,True,100.77,True,6,True,0.029,34,88.58,False,3,True,6,True,3,True,0,True,False,
A06_Msad_Lpark_Gpersistence_S1337_Cbaseline,A06_Msad_Lpark_Gpersistence_S1337,baseline,6,1,sad,park,persistence,persistence: keeping trying when tasks are hard,1337,5.65,1,,,16,3.88,4.06,252,False,True,True,False,-0.3,True,105.63,True,6,True,0.0297,32,88.74,False,2,True,5,True,2,True,0,True,False,
A06_Msad_Lschool_Gempathy_S42_Cbaseline,A06_Msad_Lschool_Gempathy_S42,baseline,6,1,sad,school,empathy,empathy: caring about how others feel,42,7.19,1,,,16,3.31,5.83,309,False,True,True,True,1.71,True,96.33,True,6,True,0.0409,37,88.54,False,4,True,5,True,2,True,0,True,False,
A06_Msad_Lpark_Gempathy_S42_Cfull,A06_Msad_Lpark_Gempathy_S42,full,6,1,sad,park,empathy,empathy: caring about how others feel,42,42.14,3,False,False,16,3.5,5.91,331,False,True,True,True,1.59,True,97.09,True,6,True,0.0254,40,89.68,False,3,True,5,True,2,True,0,True,False,
A06_Msad_Lschool_Gempathy_S1337_Cbaseline,A06_Msad_Lschool_Gempathy_S1337,baseline,6,1,sad,school,empathy,empathy: caring about how others feel,1337,7.7,1,,,16,3.81,5.16,315,False,True,True,True,1.15,True,98.08,True,6,True,0.0238,32,90.72,False,4,True,5,True,2,True,0,True,False,
A06_Msad_Lschool_Gpersistence_S42_Cbaseline,A06_Msad_Lschool_Gpersistence_S42,baseline,6,1,sad,school,persistence,persistence: keeping trying when tasks are hard,42,8.48,1,,,16,3.69,4.88,288,False,True,True,False,1.23,True,97.02,True,6,True,0.0329,43,87.59,False,1,False,5,True,2,True,0,True,False,
A06_Msad_Lschool_Gpersistence_S1337_Cbaseline,A06_Msad_Lschool_Gpersistence_S1337,baseline,6,1,sad,school,persistence,persistence: keeping trying when tasks are hard,1337,7.38,1,,,16,3.94,4.76,300,False,True,True,True,1.15,True,96.89,True,6,True,0.0128,33,87.87,False,3,True,5,True,3,True,0,True,False,
A06_Msad_Lpark_Gpersistence_S42_Cfull,A06_Msad_Lpark_Gpersistence_S42,full,6,1,sad,park,persistence,persistence: keeping trying when tasks are hard,42,43.36,3,False,False,16,3.94,4.95,312,False,True,True,True,-0.11,True,106.41,True,6,True,0.01,47,91.23,False,5,True,5,True,4,True,0,True,False,
A06_Msad_Lpark_Gempathy_S1337_Cfull,A06_Msad_Lpark_Gempathy_S1337,full,6,1,sad,park,empathy,empathy: caring about how others feel,1337,55.81,3,False,False,16,3.81,5.25,320,False,True,True,True,0.92,True,100.08,True,6,True,0.0269,45,91.3,False,3,True,6,True,2,True,0,True,False,
A06_Mscared_Lpark_Gempathy_S42_Cbaseline,A06_Mscared_Lpark_Gempathy_S42,baseline,6,1,scared,park,empathy,empathy: caring about how others feel,42,7.4,1,,,16,3.5,5.8,325,False,True,True,True,1.94,True,94.39,True,6,True,0.0337,40,86.84,False,5,True,6,True,2,True,0,True,False,
A06_Mscared_Lpark_Gempathy_S1337_Cbaseline,A06_Mscared_Lpark_Gempathy_S1337,baseline,6,1,scared,park,empathy,empathy: caring about how others feel,1337,7.18,1,,,16,4.94,4.2,332,False,False,True,True,-0.26,True,105.71,True,6,True,0.0183,37,87.34,False,4,True,6,True,3,True,0,True,False,
A06_Msad_Lpark_Gpersistence_S1337_Cfull,A06_Msad_Lpark_Gpersistence_S1337,full,6,1,sad,park,persistence,persistence: keeping trying when tasks are hard,1337,52.19,3,False,False,16,3.88,5.69,353,False,True,True,True,0.73,True,102.27,True,6,True,0.0277,46,89.97,False,4,True,6,True,3,True,0,True,False,
A06_Msad_Lschool_Gempathy_S1337_Cfull,A06_Msad_Lschool_Gempathy_S1337,full,6,1,sad,school,empathy,empathy: caring about how others feel,1337,41.37,3,False,False,16,4.5,4.96,357,False,True,True,True,0.87,True,98.67,True,6,True,0.0343,41,88.92,False,5,True,4,True,3,True,0,True,False,
A06_Msad_Lschool_Gempathy_S42_Cfull,A06_Msad_Lschool_Gempathy_S42,full,6,1,sad,school,empathy,empathy: caring about how others feel,42,57.19,3,False,False,16,3.81,5.61,342,False,True,True,True,1.43,True,97.09,True,6,True,0.0292,32,92.11,False,5,True,5,True,3,True,0,True,False,
A06_Msad_Lschool_Gpersistence_S42_Cfull,A06_Msad_Lschool_Gpersistence_S42,full,6,1,sad,school,persistence,persistence: keeping trying when tasks are hard,42,41.14,3,False,False,16,4.25,5.66,385,False,True,True,True,1.0,True,100.24,True,6,True,0.0193,52,88.86,False,3,True,5,True,3,True,0,True,False,
A06_Mscared_Lpark_Gpersistence_S1337_Cbaseline,A06_Mscared_Lpark_Gpersistence_S1337,baseline,6,1,scared,park,persistence,persistence: keeping trying when tasks are hard,1337,7.48,1,,,16,3.12,5.86,293,False,True,True,False,0.64,True,104.04,True,6,True,0.0254,34,88.76,False,2,True,5,True,2,True,0,True,False,
A06_Msad_Lschool_Gpersistence_S1337_Cfull,A06_Msad_Lschool_Gpersistence_S1337,full,6,1,sad,school,persistence,persistence: keeping trying when tasks are hard,1337,38.8,3,False,False,15,2.33,8.37,293,True,True,False,False,1.66,True,99.13,True,6,True,0.0348,32,92.57,False,5,True,6,True,3,True,0,True,False,
A06_Mscared_Lschool_Gempathy_S42_Cbaseline,A06_Mscared_Lschool_Gempathy_S42,baseline,6,1,scared,school,empathy,empathy: caring about how others feel,42,5.21,1,,,16,2.94,5.23,246,False,True,True,False,1.15,True,99.31,True,6,True,0.0258,31,86.22,False,4,True,5,True,1,True,0,True,False,
A06_Mscared_Lpark_Gpersistence_S42_Cbaseline,A06_Mscared_Lpark_Gpersistence_S42,baseline,6,1,scared,park,persistence,persistence: keeping trying when tasks are hard,42,7.76,1,,,16,5.12,4.29,352,False,False,True,True,-0.08,True,104.25,True,6,True,0.0067,47,89.47,False,3,True,5,True,2,True,0,True,False,
A06_Mscared_Lpark_Gempathy_S42_Cfull,A06_Mscared_Lpark_Gempathy_S42,full,6,1,scared,park,empathy,empathy: caring about how others feel,42,41.2,3,False,False,16,4.44,4.35,309,False,True,True,True,1.38,True,94.21,True,6,True,0.0315,40,87.37,False,3,True,6,True,1,True,0,True,False,
A06_Mscared_Lschool_Gempathy_S1337_Cbaseline,A06_Mscared_Lschool_Gempathy_S1337,baseline,6,1,scared,school,empathy,empathy: caring about how others feel,1337,6.77,1,,,15,3.2,6.25,300,True,True,True,True,1.11,True,100.3,True,6,True,0.022,41,86.17,False,5,True,6,True,2,True,0,True,False,
A06_Mscared_Lschool_Gpersistence_S1337_Cbaseline,A06_Mscared_Lschool_Gpersistence_S1337,baseline,6,1,scared,school,persistence,persistence: keeping trying when tasks are hard,1337,6.31,1,,,15,2.93,6.55,288,True,True,True,False,0.8,True,102.38,True,6,True,0.0345,39,86.69,False,3,True,5,True,3,True,0,True,False,
A06_Mscared_Lschool_Gpersistence_S42_Cbaseline,A06_Mscared_Lschool_Gpersistence_S42,baseline,6,1,scared,school,persistence,persistence: keeping trying when tasks are hard,42,13.3,1,,,15,2.67,6.25,250,True,True,True,False,1.35,True,97.82,True,6,True,0.044,36,85.33,False,3,True,5,True,2,True,0,True,False,
A06_Mscared_Lpark_Gpersistence_S1337_Cfull,A06_Mscared_Lpark_Gpersistence_S1337,full,6,1,scared,park,persistence,persistence: keeping trying when tasks are hard,1337,43.1,3,False,False,15,2.73,7.15,293,True,True,True,False,0.57,True,104.53,True,6,True,0.0304,38,93.24,False,4,True,6,True,3,True,0,True,False,
A08_Mhappy_Lpark_Gempathy_S42_Cbaseline,A08_Mhappy_Lpark_Gempathy_S42,baseline,8,3,happy,park,empathy,empathy: caring about how others feel,42,7.65,1,,,16,2.94,6.66,313,False,True,True,False,2.27,True,94.98,True,6,True,0.0439,31,91.75,False,2,True,4,True,2,True,0,True,False,
A06_Mscared_Lpark_Gempathy_S1337_Cfull,A06_Mscared_Lpark_Gempathy_S1337,full,6,1,scared,park,empathy,empathy: caring about how others feel,1337,42.36,3,False,False,16,3.38,5.59,302,False,True,True,True,1.04,True,100.52,True,6,True,0.0212,38,87.99,False,1,False,5,True,0,False,0,True,False,
A06_Mscared_Lschool_Gempathy_S42_Cfull,A06_Mscared_Lschool_Gempathy_S42,full,6,1,scared,school,empathy,empathy: caring about how others feel,42,44.16,3,False,False,15,3.0,6.69,301,True,True,True,True,0.48,True,104.61,True,6,True,0.0329,41,91.18,False,4,True,5,True,2,True,0,True,False,
A06_Mscared_Lschool_Gempathy_S1337_Cfull,A06_Mscared_Lschool_Gempathy_S1337,full,6,1,scared,school,empathy,empathy: caring about how others feel,1337,39.33,3,False,False,16,3.5,5.18,290,False,True,True,False,0.65,True,101.95,True,6,True,0.0297,40,91.32,False,2,True,2,True,2,True,0,True,False,
A08_Mhappy_Lpark_Gempathy_S1337_Cbaseline,A08_Mhappy_Lpark_Gempathy_S1337,baseline,8,3,happy,park,empathy,empathy: caring about how others feel,1337,11.24,1,,,16,3.5,7.75,434,False,True,True,False,3.19,True,90.04,True,6,True,0.0374,40,91.73,False,4,True,5,True,1,True,0,True,False,
A08_Mhappy_Lpark_Gpersistence_S42_Cbaseline,A08_Mhappy_Lpark_Gpersistence_S42,baseline,8,3,happy,park,persistence,persistence: keeping trying when tasks are hard,42,9.23,1,,,16,3.62,6.55,380,False,True,True,False,2.1,True,94.94,True,6,True,0.0315,42,88.33,False,4,True,6,True,3,True,0,True,False,
A06_Mscared_Lschool_Gpersistence_S1337_Cfull,A06_Mscared_Lschool_Gpersistence_S1337,full,6,1,scared,school,persistence,persistence: keeping trying when tasks are hard,1337,36.14,3,False,False,16,3.44,5.16,284,False,True,True,False,0.98,True,99.9,True,6,True,0.0181,39,86.09,False,3,True,5,True,2,True,0,True,False,
A06_Mscared_Lpark_Gpersistence_S42_Cfull,A06_Mscared_Lpark_Gpersistence_S42,full,6,1,scared,park,persistence,persistence: keeping trying when tasks are hard,42,80.85,3,False,False,15,3.2,6.06,291,True,True,True,False,0.29,True,104.68,True,6,True,0.0113,44,90.17,False,5,True,7,True,3,True,0,True,False,
A08_Mhappy_Lpark_Gpersistence_S1337_Cbaseline,A08_Mhappy_Lpark_Gpersistence_S1337,baseline,8,3,happy,park,persistence,persistence: keeping trying when tasks are hard,1337,8.99,1,,,16,5.06,5.42,439,False,False,False,False,1.45,False,96.0,True,6,True,0.0146,41,89.98,False,3,True,5,True,3,True,0,True,False,
A08_Mhappy_Lschool_Gempathy_S42_Cbaseline,A08_Mhappy_Lschool_Gempathy_S42,baseline,8,3,happy,school,empathy,empathy: caring about how others feel,42,7.63,1,,,16,3.19,7.43,379,False,True,True,False,3.51,True,87.48,False,6,True,0.0218,35,91.29,False,3,True,5,True,2,True,0,True,False,
A08_Mhappy_Lschool_Gempathy_S1337_Cbaseline,A08_Mhappy_Lschool_Gempathy_S1337,baseline,8,3,happy,school,empathy,empathy: caring about how others feel,1337,8.06,1,,,15,2.87,8.09,348,True,True,True,False,2.36,True,94.51,True,6,True,0.0242,38,90.81,False,4,True,5,True,3,True,0,True,False,
A06_Mscared_Lschool_Gpersistence_S42_Cfull,A06_Mscared_Lschool_Gpersistence_S42,full,6,1,scared,school,persistence,persistence: keeping trying when tasks are hard,42,74.27,3,False,False,15,3.47,7.58,394,True,True,True,True,1.37,True,99.57,True,6,True,0.0206,49,92.31,False,6,True,6,True,4,True,0,True,False,
A08_Mhappy_Lpark_Gempathy_S42_Cfull,A08_Mhappy_Lpark_Gempathy_S42,full,8,3,happy,park,empathy,empathy: caring about how others feel,42,43.97,3,False,False,16,3.88,6.61,410,False,True,True,False,2.62,True,91.14,True,0,False,0.0442,46,91.35,False,3,True,6,True,2,True,0,True,False,
A08_Mhappy_Lschool_Gpersistence_S42_Cbaseline,A08_Mhappy_Lschool_Gpersistence_S42,baseline,8,3,happy,school,persistence,persistence: keeping trying when tasks are hard,42,8.57,1,,,16,4.81,5.65,435,False,False,False,False,2.85,True,86.55,False,6,True,0.0173,44,88.7,False,3,True,5,True,3,True,0,True,False,
A08_Mhappy_Lpark_Gpersistence_S42_Cfull,A08_Mhappy_Lpark_Gpersistence_S42,full,8,3,happy,park,persistence,persistence: keeping trying when tasks are hard,42,49.33,3,False,False,16,4.44,7.52,534,False,False,True,True,1.91,False,97.8,True,6,True,0.0192,55,91.86,False,5,True,6,True,5,True,0,True,False,
A08_Mhappy_Lschool_Gpersistence_S1337_Cbaseline,A08_Mhappy_Lschool_Gpersistence_S1337,baseline,8,3,happy,school,persistence,persistence: keeping trying when tasks are hard,1337,9.63,1,,,16,3.94,5.9,372,False,True,False,False,2.57,True,89.54,False,6,True,0.0109,38,90.49,False,5,True,5,True,3,True,0,True,False,
A08_Mhappy_Lpark_Gempathy_S1337_Cfull,A08_Mhappy_Lpark_Gempathy_S1337,full,8,3,happy,park,empathy,empathy: caring about how others feel,1337,63.97,3,False,False,16,4.19,6.94,465,False,True,True,False,2.65,True,91.34,True,6,True,0.0253,51,92.15,False,4,True,6,True,3,True,0,True,False,
A08_Mhappy_Lschool_Gempathy_S42_Cfull,A08_Mhappy_Lschool_Gempathy_S42,full,8,3,happy,school,empathy,empathy: caring about how others feel,42,43.39,3,False,False,16,3.62,6.45,374,False,True,True,False,2.46,True,92.28,True,6,True,0.0396,42,91.62,False,2,True,5,True,2,True,0,True,False,
A08_Msad_Lpark_Gempathy_S42_Cbaseline,A08_Msad_Lpark_Gempathy_S42,baseline,8,3,sad,park,empathy,empathy: caring about how others feel,42,9.5,1,,,16,3.38,6.67,360,False,True,True,False,3.22,True,87.25,False,6,True,0.0268,38,90.75,False,5,True,5,True,4,True,0,True,False,
A08_Mhappy_Lpark_Gpersistence_S1337_Cfull,A08_Mhappy_Lpark_Gpersistence_S1337,full,8,3,happy,park,persistence,persistence: keeping trying when tasks are hard,1337,54.61,3,False,False,16,3.94,6.84,431,False,True,True,False,2.45,True,92.81,True,6,True,0.0343,47,92.49,False,4,True,6,True,3,True,0,True,False,
A08_Mhappy_Lschool_Gempathy_S1337_Cfull,A08_Mhappy_Lschool_Gempathy_S1337,full,8,3,happy,school,empathy,empathy: caring about how others feel,1337,44.58,3,False,False,16,3.56,7.79,444,False,True,True,False,3.62,True,87.01,False,6,True,0.0303,41,93.62,False,4,True,6,True,3,True,0,True,False,
A08_Msad_Lpark_Gempathy_S1337_Cbaseline,A08_Msad_Lpark_Gempathy_S1337,baseline,8,3,sad,park,empathy,empathy: caring about how others feel,1337,9.94,1,,,16,3.81,7.18,438,False,True,True,False,2.97,True,89.91,False,6,True,0.0142,45,92.09,False,4,True,6,True,2,True,0,True,False,
A08_Msad_Lpark_Gpersistence_S42_Cbaseline,A08_Msad_Lpark_Gpersistence_S42,baseline,8,3,sad,park,persistence,persistence: keeping trying when tasks are hard,42,8.87,1,,,16,4.19,5.64,378,False,True,False,False,1.33,False,97.52,True,6,True,0.0243,37,92.29,False,3,True,5,True,2,True,0,True,False,
A08_Msad_Lpark_Gpersistence_S1337_Cbaseline,A08_Msad_Lpark_Gpersistence_S1337,baseline,8,3,sad,park,persistence,persistence: keeping trying when tasks are hard,1337,8.95,1,,,15,3.47,7.13,371,True,True,True,False,1.42,False,97.9,True,6,True,0.0155,51,89.47,False,3,True,6,True,4,True,0,True,False,
A08_Mhappy_Lschool_Gpersistence_S42_Cfull,A08_Mhappy_Lschool_Gpersistence_S42,full,8,3,happy,school,persistence,persistence: keeping trying when tasks are hard,42,49.99,3,False,False,16,3.44,6.6,363,False,True,True,False,3.24,True,86.88,False,6,True,0.0208,39,90.24,False,4,True,5,True,3,True,0,True,False,
A08_Msad_Lschool_Gempathy_S42_Cbaseline,A08_Msad_Lschool_Gempathy_S42,baseline,8,3,sad,school,empathy,empathy: caring about how others feel,42,9.0,1,,,16,3.62,6.48,376,False,True,True,False,3.09,True,87.54,False,6,True,0.0204,42,90.08,False,4,True,5,True,3,True,0,True,False,
A08_Msad_Lschool_Gempathy_S1337_Cbaseline,A08_Msad_Lschool_Gempathy_S1337,baseline,8,3,sad,school,empathy,empathy: caring about how others feel,1337,6.84,1,,,16,2.94,7.13,335,False,True,True,False,2.7,True,93.09,True,6,True,0.0429,31,91.67,False,4,True,5,True,2,True,0,True,False,
A08_Mhappy_Lschool_Gpersistence_S1337_Cfull,A08_Mhappy_Lschool_Gpersistence_S1337,full,8,3,happy,school,persistence,persistence: keeping trying when tasks are hard,1337,60.84,3,False,False,16,4.19,6.84,458,False,True,True,False,2.49,True,92.3,True,6,True,0.0232,51,90.0,False,4,True,5,True,4,True,0,True,False,
A08_Msad_Lschool_Gpersistence_S42_Cbaseline,A08_Msad_Lschool_Gpersistence_S42,baseline,8,3,sad,school,persistence,persistence: keeping trying when tasks are hard,42,8.85,1,,,16,3.81,7.0,427,False,True,True,False,2.65,True,92.02,True,6,True,0.0156,45,89.35,False,2,True,5,True,3,True,0,True,False,
A08_Msad_Lpark_Gempathy_S42_Cfull,A08_Msad_Lpark_Gempathy_S42,full,8,3,sad,park,empathy,empathy: caring about how others feel,42,66.79,3,False,False,16,3.38,5.85,316,False,True,False,False,2.04,True,93.91,True,6,True,0.009,38,89.49,False,5,True,5,True,3,True,0,True,False,
A08_Msad_Lpark_Gempathy_S1337_Cfull,A08_Msad_Lpark_Gempathy_S1337,full,8,3,sad,park,empathy,empathy: caring about how others feel,1337,60.01,3,False,False,15,2.53,8.84,336,True,True,True,False,2.77,True,94.05,True,6,True,0.0533,32,90.54,False,4,True,7,True,2,True,0,True,False,
A08_Msad_Lschool_Gempathy_S42_Cfull,A08_Msad_Lschool_Gempathy_S42,full,8,3,sad,school,empathy,empathy: caring about how others feel,42,43.19,3,False,False,16,3.69,6.19,365,False,True,True,False,2.11,True,93.85,True,6,True,0.0413,43,90.67,False,3,True,6,True,2,True,0,True,False,
A08_Msad_Lschool_Gpersistence_S1337_Cbaseline,A08_Msad_Lschool_Gpersistence_S1337,baseline,8,3,sad,school,persistence,persistence: keeping trying when tasks are hard,1337,9.61,1,,,16,4.5,5.97,430,False,False,False,False,2.24,True,91.86,True,0,False,0.0087,42,89.05,False,3,True,5,True,3,True,0,True,False,
A08_Msad_Lpark_Gpersistence_S1337_Cfull,A08_Msad_Lpark_Gpersistence_S1337,full,8,3,sad,park,persistence,persistence: keeping trying when tasks are hard,1337,59.82,3,False,False,16,4.31,5.65,390,False,False,False,False,1.85,False,93.74,True,6,True,0.0174,40,92.84,False,4,True,7,True,3,True,0,True,False,
A08_Mscared_Lpark_Gempathy_S42_Cbaseline,A08_Mscared_Lpark_Gempathy_S42,baseline,8,3,scared,park,empathy,empathy: caring about how others feel,42,10.14,1,,,16,3.69,6.83,403,False,True,True,False,1.91,False,96.77,True,6,True,0.0404,43,91.32,False,3,True,6,True,2,True,0,True,False,
A08_Msad_Lschool_Gempathy_S1337_Cfull,A08_Msad_Lschool_Gempathy_S1337,full,8,3,sad,school,empathy,empathy: caring about how others feel,1337,44.11,3,False,False,16,3.06,7.0,343,False,True,True,False,2.72,True,92.33,True,6,True,0.032,33,92.5,False,3,True,4,True,2,True,0,True,False,
A08_Mscared_Lpark_Gempathy_S1337_Cbaseline,A08_Mscared_Lpark_Gempathy_S1337,baseline,8,3,scared,park,empathy,empathy: caring about how others feel,1337,8.71,1,,,16,4.5,5.72,412,False,False,False,False,2.29,True,91.0,True,6,True,0.0218,42,89.87,False,4,True,6,True,3,True,0,True,False,
A08_Mscared_Lpark_Gpersistence_S42_Cbaseline,A08_Mscared_Lpark_Gpersistence_S42,baseline,8,3,scared,park,persistence,persistence: keeping trying when tasks are hard,42,11.55,1,,,16,5.44,5.79,504,False,False,False,True,1.61,False,95.26,True,6,True,0.0193,55,90.76,False,3,True,5,True,2,True,0,True,False,
A08_Mscared_Lpark_Gpersistence_S1337_Cbaseline,A08_Mscared_Lpark_Gpersistence_S1337,baseline,8,3,scared,park,persistence,persistence: keeping trying when tasks are hard,1337,10.54,1,,,16,3.94,6.41,404,False,True,True,False,1.41,False,99.06,True,6,True,0.0098,47,91.32,False,3,True,5,True,3,True,0,True,False,
A08_Msad_Lpark_Gpersistence_S42_Cfull,A08_Msad_Lpark_Gpersistence_S42,full,8,3,sad,park,persistence,persistence: keeping trying when tasks are hard,42,94.91,3,False,False,16,4.88,5.74,448,False,False,False,False,1.26,False,98.14,True,6,True,0.0211,45,91.59,False,5,True,6,True,4,True,0,True,False,
A08_Msad_Lschool_Gpersistence_S42_Cfull,A08_Msad_Lschool_Gpersistence_S42,full,8,3,sad,school,persistence,persistence: keeping trying when tasks are hard,42,54.8,3,False,False,16,4.5,6.69,482,False,False,True,False,2.24,True,93.73,True,6,True,0.0237,56,88.54,False,3,True,5,True,4,True,0,True,False,
